candidate_webname,state_postal,cd,cand_party,year,web_score,FECCandID,bioguide_id
Christopher Cumings,AK,1,Democrat,2018,NA,NA,NA
Alyse S. Galvin,AK,1,Democrat,2018,-0.725479475,H8AK00140,NA
Carol Hafner,AK,1,Democrat,2018,-0.661099048,H8AK01023,NA
Thomas Nelson,AK,1,Republican,2018,0.217085233,H8AK01031,NA
Dimitri Shein,AK,1,Democrat,2018,-0.638490583,H8AK00132,NA
Jed Whittaker,AK,1,Republican,2018,NA,NA,NA
Don Young,AK,1,Republican,2018,NA,H6AK00045,Y000033
Alyse S. Galvin,AK,1,Democrat,2020,-0.734990695,H8AK00140,NA
Gerald L. Heikes,AK,1,Republican,2020,NA,H6AK00268,NA
William D. Hibler,AK,1,Democrat,2020,-0.179486524,H6AK00243,NA
Thomas Nelson,AK,1,Republican,2020,NA,NA,P000619
Ray Sean Tugatuk,AK,1,Democrat,2020,NA,H0AK00113,NA
Don Young,AK,1,Republican,2020,0.048145783,H6AK00045,Y000033
Bob Lyons,AK,1,Republican,2022,NA,H2AK01232,NA
Brad Snowden,AK,1,Republican,2022,NA,NA,NA
Jay Armstrong,AK,1,Republican,2022,0.405049174,H2AK00267,NA
Mary Peltola,AK,1,Democrat,2022,-0.77685505,H2AK01158,P000619
Nick Begich,AK,1,Republican,2022,NA,H2AK01083,NA
Randy Purham,AK,1,Republican,2022,0.293961353,H2AK01059,NA
Sarah Palin,AK,1,Republican,2022,NA,H2AK00226,NA
Tara Sweeney,AK,1,Republican,2022,-0.095157146,H2AK01174,NA
Bradley Byrne,AL,1,Republican,2018,1.230362703,H4AL01123,B001289
Robert Kennedy Jr,AL,1,Democrat,2018,-0.186044678,H8AL01066,NA
Lizzetta McConnell,AL,1,Democrat,2018,-0.94800428,H8AL01082,NA
James Averhart,AL,1,Democrat,2020,-0.260237699,H0AL01097,NA
Jerry Carl,AL,1,Republican,2020,1.253947853,H0AL01055,C001054
John Castorani,AL,1,Republican,2020,1.445621857,H0AL01121,NA
Frederick Collins,AL,1,Democrat,2020,NA,H0AL01139,NA
Kiani Gardner,AL,1,Democrat,2020,-0.548408579,H0AL01105,NA
Bill Hightower,AL,1,Republican,2020,1.218965156,H0AL01089,NA
Douglas Lambert,AL,1,Republican,2020,NA,H0AL01063,NA
Chris Pringle,AL,1,Republican,2020,NA,H0AL01071,NA
Jerry Carl,AL,1,Republican,2022,-0.399744672,H0AL01055,C001054
Tommy Amason,AL,2,Republican,2018,1.055175133,H8AL02189,NA
Bobby Bright,AL,2,Republican,2018,1.309636594,H8AL02213,NA
Rich Hobson,AL,2,Republican,2018,1.423413986,H8AL02205,NA
Tabitha Isner,AL,2,Democrat,2018,-0.194444622,H8AL02197,NA
Barry Moore,AL,2,Republican,2018,1.570326545,H8AL02171,NA
Martha Roby,AL,2,Republican,2018,0.913957432,H0AL02087,R000591
Audri Williams,AL,2,Democrat,2018,-0.684637801,H8AL02163,NA
Thomas W. Brown Jr.,AL,2,Republican,2020,NA,H0AL02160,NA
Jeff Coleman,AL,2,Republican,2020,1.64359209,H0AL02145,NA
Phyllis Harvey-Hall,AL,2,Democrat,2020,-0.33486175,H0AL02202,NA
Terri Hasdorff,AL,2,Republican,2020,1.519493306,H0AL02194,NA
Troy King,AL,2,Republican,2020,NA,H0AL02152,NA
Nathan Mathis,AL,2,Democrat,2020,NA,H6AL02167,NA
Barry Moore,AL,2,Republican,2020,NA,H8AL02171,M001212
Robert L. Rogers,AL,2,Republican,2020,NA,H6AL02159,NA
Jessica Taylor,AL,2,Republican,2020,NA,H0AL02178,NA
Barry Moore,AL,2,Republican,2022,0.956637986,H8AL02171,M001212
Phyllis Harvey-Hall,AL,2,Democrat,2022,-0.761485733,H0AL02202,NA
Vimal Patel,AL,2,Democrat,2022,0.289792757,H2AL02166,NA
Mallory Hagan,AL,3,Democrat,2018,NA,H8AL03054,NA
Mike Rogers,AL,3,Republican,2018,0.940584339,H2AL03032,R000575
Adia McClellan Winfrey,AL,3,Democrat,2018,NA,H8AL03062,NA
Mike Rogers,AL,3,Republican,2020,NA,H2AL03032,R000575
Adia McClellan Winfrey,AL,3,Democrat,2020,NA,H8AL03062,NA
Lin Veasey,AL,3,Democrat,2022,NA,H2AL03149,NA
Michael Joiner,AL,3,Republican,2022,0.55193133,H2AL03123,NA
Mike Rogers,AL,3,Republican,2022,NA,H2AL03032,R000575
Robert Aderholt,AL,4,Republican,2018,1.048957614,H6AL04098,A000055
Lee Auman,AL,4,Democrat,2018,-0.30973087,H8AL04094,NA
Anthony Blackmon,AL,4,Republican,2018,0.748788078,H8AL04102,NA
Rick Neighbors,AL,4,Democrat,2018,-0.46329167,H8AL04086,NA
Robert Aderholt,AL,4,Republican,2020,0.405891855,H6AL04098,A000055
Rick Neighbors,AL,4,Democrat,2020,NA,H8AL04086,NA
Rhonda Gore,AL,4,Democrat,2022,NA,H2AL04097,NA
Rick Neighbors,AL,4,Democrat,2022,NA,H8AL04086,NA
Robert Aderholt,AL,4,Republican,2022,1.084153183,H6AL04098,A000055
Mo Brooks,AL,5,Republican,2018,1.195379403,H0AL05163,B001274
Clayton Hinchman,AL,5,Republican,2018,0.843116121,H8AL05208,NA
Peter Joffrion,AL,5,Democrat,2018,-0.684677336,H8AL05190,NA
Mo Brooks,AL,5,Republican,2020,1.345116888,H0AL05163,B001274
Chris Lewis,AL,5,Republican,2020,0.933660353,H0AL05205,NA
Andy Blalock,AL,5,Republican,2022,0.98856984,H2AL05110,NA
Casey Wardynski,AL,5,Republican,2022,0.88327348,H2AL05128,NA
Charlie Thompson,AL,5,Democrat,2022,0.231370186,H2AL05144,NA
Dale Strong,AL,5,Republican,2022,1.485438547,H2AL05102,S001220
Harrison Wright,AL,5,Republican,2022,NA,H2AL05136,NA
John Roberts,AL,5,Republican,2022,0.705350484,H2AL05169,NA
Kathy Warner-Stanton,AL,5,Democrat,2022,-0.398176676,H2AL05177,NA
Paul Sanford,AL,5,Republican,2022,1.244552702,H2AL05219,NA
Danner Kline,AL,6,Democrat,2018,-0.235238002,H8AL06099,NA
Gary Palmer,AL,6,Republican,2018,1.173859673,H4AL06098,P000609
Gary Palmer,AL,6,Republican,2020,1.198714835,H4AL06098,P000609
Gary Palmer,AL,6,Republican,2022,1.154314623,H4AL06098,P000609
Terri Sewell,AL,7,Democrat,2018,-0.500506153,H0AL07086,S001185
Terri Sewell,AL,7,Democrat,2020,-0.492293283,H0AL07086,S001185
Beatrice Nichols,AL,7,Republican,2022,NA,H2AL07173,NA
Terri Sewell,AL,7,Democrat,2022,-0.401938129,H0AL07086,S001185
Rick Crawford,AR,1,Republican,2018,NA,H0AR01083,C001087
Chintan Desai,AR,1,Democrat,2018,-0.712528492,H8AR01029,NA
Rick Crawford,AR,1,Republican,2020,0.006859324,H0AR01083,C001087
Brandt Smith,AR,1,Republican,2022,1.463621704,H2AR01105,NA
Jody Shackelford,AR,1,Republican,2022,1.004079412,H2AR01121,NA
Monte Hodges,AR,1,Democrat,2022,NA,H2AR01113,NA
Rick Crawford,AR,1,Republican,2022,NA,H0AR01083,C001087
Gwen Combs,AR,2,Democrat,2018,-0.956528577,H8AR02142,NA
Jonathan Dunkley,AR,2,Democrat,2018,NA,H8AR02167,NA
